run_id,task_id,status,score,cost_usd,tokens_in,tokens_out,cache_hit,cache_miss,turns,max_turns,wall_sec,llm_wall_sec_db,llm_wall_sec_recompute,bash_total_sec,qe_bash_db,qe_self_db,qe_wall_real,qe_derived,harness_residual,n_turns_seen,n_with_llm_wall,n_out_files,gpu_util_p50,gpu_util_p95,gpu_util_max,mem_util_p95,mem_used_p95_mib,power_p95_w,temp_max,throttle_count,n_gpu_samples,bottleneck
2026-05-10T06-44-26Z_M1_T1_Ag_vc_relax,M1_T1_Ag_vc_relax,done,1.0,0.020059853587115664,341878,11451,321792,20086,20,100,486.67,412.38060840871185,412.38060840871185,73.66,72.19,70.05,68.1,72.81939159128817,4.719391591288172,20,20,2,0.0,58.0,61.0,1.0,1927.0,144.14,31.0,0,192,underutilized
2026-05-10T06-44-26Z_M1_T1_Al2O3_corundum_vc_relax,M1_T1_Al2O3_corundum_vc_relax,done,1.0,0.020160146412884335,395859,12500,378112,17747,24,100,521.09,449.18613333720714,449.18613333720714,71.26,65.48,31.18,30.8,66.12386666279289,35.323866662792895,24,24,1,0.0,57.0,61.0,1.0,1927.0,143.7,31.0,0,206,underutilized
2026-05-10T06-44-26Z_M1_T1_AlAs_vc_relax,M1_T1_AlAs_vc_relax,done,1.0,0.021571800878477307,375587,14596,358656,16931,24,100,559.61,512.5281880320981,512.5281880320981,46.46,45.03,18.36,18.0,45.6518119679019,27.6518119679019,24,24,1,0.0,53.0,61.0,1.0,1927.0,142.58,31.0,0,222,underutilized
2026-05-10T06-44-26Z_M1_T1_AlN_vc_relax,M1_T1_AlN_vc_relax,done,1.0,0.017451625183016104,267047,11562,252544,14503,20,100,436.05,413.473626870662,413.473626870662,21.86,20.6,16.3,15.9,21.31637312933804,5.416373129338039,20,20,1,0.0,59.0,61.0,1.0,1927.0,144.4,31.0,0,172,underutilized
2026-05-10T06-51-42Z_M1_T1_AlP_vc_relax,M1_T1_AlP_vc_relax,done,1.0,0.011556222547584188,203629,6223,191360,12269,17,100,257.22,232.72241556178778,232.72241556178778,23.859999999999996,20.849999999999998,16.84,16.5,21.487584438212245,4.987584438212245,17,17,1,0.0,35.0,50.0,0.0,1733.0,127.21,30.0,0,102,underutilized
2026-05-10T06-52-34Z_M1_T1_AlSb_vc_relax,M1_T1_AlSb_vc_relax,done,1.0,0.014685856515373352,250086,8580,235776,14310,18,100,402.3,316.5363089106977,316.5363089106977,85.13,84.28,81.19,79.8,84.91369108930232,5.113691089302321,18,18,1,0.0,47.0,54.0,0.0,1771.0,135.18,30.0,0,160,underutilized
2026-05-10T06-53-08Z_M1_T1_Al_vc_relax,M1_T1_Al_vc_relax,done,1.0,0.012452913616398243,183723,7169,171136,12587,15,100,317.35,257.94544010516256,257.94544010516256,58.76,55.82,51.83,49.7,56.464559894837464,6.764559894837461,15,15,1,0.0,47.0,54.0,0.0,1787.0,135.24,30.0,0,126,underutilized
2026-05-10T06-53-47Z_M1_T1_Au_vc_relax,M1_T1_Au_vc_relax,done,1.0,0.016192122986822842,327553,8943,311168,16385,23,100,381.44,331.90060967672616,331.90060967672616,48.93,0.35000000000000003,23.25,22.7,0.959390323273837,-21.740609676726162,23,23,1,0.0,47.0,54.0,0.0,1771.0,135.18,30.0,0,152,underutilized
2026-05-10T06-56-01Z_M1_T1_Be_vc_relax,M1_T1_Be_vc_relax,done,1.0,0.013196281112737922,150001,7169,135424,14577,12,100,297.61,261.33606055378914,261.33606055378914,35.690000000000005,34.269999999999996,32.72,31.5,34.853939446210866,3.353939446210866,12,12,1,0.0,45.0,54.0,0.0,1769.0,136.16,30.0,0,120,underutilized
2026-05-10T06-58-27Z_M1_T1_C_diamond_vc_relax,M1_T1_C_diamond_vc_relax,done,1.0,0.014666295754026355,274102,7466,257792,16310,19,100,297.92,279.898853844963,279.898853844963,17.4,13.7,5.24,5.1,14.321146155037003,9.221146155037003,19,19,1,0.0,45.0,54.0,0.0,1741.0,128.57,30.0,0,120,underutilized
